CODIGO;ANO;SENADOR;QTDE_TIPO_DESPESA;QTDE_FORNECEDOR;UF;PARTIDO;DATA_NASC;IDADE;SEXO;VALOR_REEMBOLSADO;QTDE_MATERIAS_PUB;QTDE_TIPO_MATERIA
916;2013;JOÃO RIBEIRO;2;7;TO;PR;25/06/1954;64;M;44199,34;3;1
916;2011;JOÃO RIBEIRO;4;11;TO;PR;25/06/1954;64;M;151795,26;8;2
3652;2011;JOÃO TENÓRIO;2;5;AL;PSDB;25/10/1943;75;M;3103,88;;
4541;2012;JOÃO VICENTE CLAUDINO;6;34;PI;PTB;09/02/1963;56;M;450945,51;40;4
4541;2014;JOÃO VICENTE CLAUDINO;6;25;PI;PTB;09/02/1963;56;M;427429,92;22;6
4541;2013;JOÃO VICENTE CLAUDINO;6;32;PI;PTB;09/02/1963;56;M;443092;41;4
4541;2011;JOÃO VICENTE CLAUDINO;6;27;PI;PTB;09/02/1963;56;M;270034,12;27;4
4541;2015;JOÃO VICENTE CLAUDINO;5;9;PI;PTB;09/02/1963;56;M;38834,45;;
4990;2017;JORGE VIANA;6;53;AC;PT;20/09/1959;59;M;340340,36;114;12
4990;2012;JORGE VIANA;6;103;AC;PT;20/09/1959;59;M;308272,29;53;9
4990;2014;JORGE VIANA;7;78;AC;PT;20/09/1959;59;M;342042,8;44;7
